Group no.	Hierarchy level	RDA element	Element name									Occurrence count	Hierarchical consistency code: Code 1	Code 2	Code 3	DC term							
39	4				rdam:P30433	contributor family of computer content						3	1		1	dct:contributor							
40	1	rdam:P30329	creator agent of manifestation									1	0		0	dct:publisher							
40	2		rdam:P30069	book designer agent								1	1		1	dct:publisher							
40	3			rdam:P30349	book designer person							2	1		1	dct:publisher							
40	3			rdam:P30378	book designer collective agent							2	1		1	dct:publisher							
40	4				rdam:P30407	book designer corporate body						3	1		1	dct:publisher							
40	4				rdam:P30436	book designer family						3	1		1	dct:publisher							
40	2		rdam:P30072	printmaker agent								1	1		1	dct:publisher							
40	3			rdam:P30070	engraver agent							1	1		1	dct:publisher							
40	4				rdam:P30350	engraver person						3	1		1	dct:publisher							
40	4				rdam:P30379	engraver collective agent						3	1		1	dct:publisher							
40	5					rdam:P30408	engraver corporate body					6	1		1	dct:publisher							
40	5					rdam:P30437	engraver family					6	1		1	dct:publisher							
40	3			rdam:P30074	lithographer agent							1	1		1	dct:publisher							
40	4				rdam:P30354	lithographer person						3	1		1	dct:publisher							
40	4				rdam:P30383	lithographer collective agent						3	1		1	dct:publisher							
40	5					rdam:P30412	lithographer corporate body					6	1		1	dct:publisher							
40	5					rdam:P30441	lithographer family					6	1		1	dct:publisher							
40	3			rdam:P30076	etcher agent							1	1		1	dct:publisher							
40	4				rdam:P30356	etcher person						3	1		1	dct:publisher							
40	4				rdam:P30385	etcher collective agent						3	1		1	dct:publisher							
40	5					rdam:P30414	etcher corporate body					6	1		1	dct:publisher							
40	5					rdam:P30443	etcher family					6	1		1	dct:publisher							
40	3			rdam:P30352	printmaker person							2	1		1	dct:publisher							
40	4				rdam:P30350	engraver person						3	1		1	dct:publisher							
40	4				rdam:P30354	lithographer person						3	1		1	dct:publisher							
40	4				rdam:P30356	etcher person						3	1		1	dct:publisher							
40	3			rdam:P30381	printmaker collective agent							2	1		1	dct:publisher							
40	4				rdam:P30379	engraver collective agent						3	1		1	dct:publisher							
40	5					rdam:P30408	engraver corporate body					6	1		1	dct:publisher							
40	5					rdam:P30437	engraver family					6	1		1	dct:publisher							
40	4				rdam:P30383	lithographer collective agent						3	1		1	dct:publisher							
40	5					rdam:P30412	lithographer corporate body					6	1		1	dct:publisher							
40	5					rdam:P30441	lithographer family					6	1		1	dct:publisher							
40	4				rdam:P30385	etcher collective agent						3	1		1	dct:publisher							
40	5					rdam:P30414	etcher corporate body					6	1		1	dct:publisher							
40	5					rdam:P30443	etcher family					6	1		1	dct:publisher							
40	4				rdam:P30410	printmaker corporate body						3	1		1	dct:publisher							
40	5					rdam:P30408	engraver corporate body					6	1		1	dct:publisher							
40	5					rdam:P30412	lithographer corporate body					6	1		1	dct:publisher							
40	5					rdam:P30414	etcher corporate body					6	1		1	dct:publisher							
40	4				rdam:P30439	printmaker family						3	1		1	dct:publisher							
40	5					rdam:P30437	engraver family					6	1		1	dct:publisher							
40	5					rdam:P30441	lithographer family					6	1		1	dct:publisher							
40	5					rdam:P30443	etcher family					6	1		1	dct:publisher							
40	2		rdam:P30073	caster agent								1	1		1	dct:publisher							
40	3			rdam:P30353	caster person							2	1		1	dct:publisher							
40	3			rdam:P30382	caster collective agent							2	1		1	dct:publisher							
40	4				rdam:P30411	caster corporate body						3	1		1	dct:publisher							
40	4				rdam:P30440	caster family						3	1		1	dct:publisher							
40	2		rdam:P30075	platemaker agent								1	1		1	dct:publisher							
40	3			rdam:P30077	collotyper agent							1	1		1	dct:publisher							
40	4				rdam:P30357	collotyper person						3	1		1	dct:publisher							
40	4				rdam:P30386	collotyper collective agent						3	1		1	dct:publisher							
40	5					rdam:P30415	collotyper corporate body					6	1		1	dct:publisher							
40	5					rdam:P30444	collotyper family					6	1		1	dct:publisher							
40	3			rdam:P30355	platemaker person							2	1		1	dct:publisher							
40	4				rdam:P30357	collotyper person						3	1		1	dct:publisher							
40	3			rdam:P30384	platemaker collective agent							2	1		1	dct:publisher							
40	4				rdam:P30386	collotyper collective agent						3	1		1	dct:publisher							
40	5					rdam:P30415	collotyper corporate body					6	1		1	dct:publisher							
40	5					rdam:P30444	collotyper family					6	1		1	dct:publisher							
40	4				rdam:P30413	platemaker corporate body						3	1		1	dct:publisher							
40	5					rdam:P30415	collotyper corporate body					6	1		1	dct:publisher							
40	4				rdam:P30442	platemaker family						3	1		1	dct:publisher							
40	5					rdam:P30444	collotyper family					6	1		1	dct:publisher							
40	2		rdam:P30081	producer agent of unpublished manifestation								1	1		1	dct:publisher							
40	3			rdam:P30360	producer person of unpublished manifestation							2	1		1	dct:publisher							
40	3			rdam:P30389	producer collective agent of unpublished manifestation							2	1		1	dct:publisher							
40	4				rdam:P30418	producer corporate body of unpublished manifestation						3	1		1	dct:publisher							
40	4				rdam:P30447	producer family of unpublished manifestation						3	1		1	dct:publisher							
40	2		rdam:P30082	manufacturer agent								1	1		1	dct:publisher							
40	3			rdam:P30071	braille embosser agent							1	1		1	dct:publisher							
40	4				rdam:P30351	braille embosser person						3	1		1	dct:publisher							
40	4				rdam:P30380	braille embosser collective agent						3	1		1	dct:publisher							
40	5					rdam:P30409	braille embosser corporate body					6	1		1	dct:publisher							
40	5					rdam:P30438	braille embosser family					6	1		1	dct:publisher							
40	3			rdam:P30078	printer agent							1	1		1	dct:publisher							
40	4				rdam:P30358	printer person						3	1		1	dct:publisher							
40	4				rdam:P30387	printer collective agent						3	1		1	dct:publisher							
40	5					rdam:P30416	printer corporate body					6	1		1	dct:publisher							
40	5					rdam:P30445	printer family					6	1		1	dct:publisher							
40	3			rdam:P30361	manufacturer person							2	1		1	dct:publisher							
40	4				rdam:P30351	braille embosser person						3	1		1	dct:publisher							
40	4				rdam:P30358	printer person						3	1		1	dct:publisher							
40	3			rdam:P30390	manufacturer collective agent							2	1		1	dct:publisher							
40	4				rdam:P30380	braille embosser collective agent						3	1		1	dct:publisher							
40	5					rdam:P30409	braille embosser corporate body					6	1		1	dct:publisher							
40	5					rdam:P30438	braille embosser family					6	1		1	dct:publisher							
40	4				rdam:P30387	printer collective agent						3	1		1	dct:publisher							
40	5					rdam:P30416	printer corporate body					6	1		1	dct:publisher							
40	5					rdam:P30445	printer family					6	1		1	dct:publisher							
40	4				rdam:P30419	manufacturer corporate body						3	1		1	dct:publisher							
40	5					rdam:P30409	braille embosser corporate body					6	1		1	dct:publisher							
40	5					rdam:P30416	printer corporate body					6	1		1	dct:publisher							
40	4				rdam:P30448	manufacturer family						3	1		1	dct:publisher							
40	5					rdam:P30438	braille embosser family					6	1		1	dct:publisher							
40	5					rdam:P30445	printer family					6	1		1	dct:publisher							
40	2		rdam:P30083	publisher agent								1	1		1	dct:publisher							
40	3			rdam:P30067	broadcaster agent							1	1		1	dct:publisher							
40	4				rdam:P30347	broadcaster person						3	1		1	dct:publisher							
40	4				rdam:P30376	broadcaster collective agent						3	1		1	dct:publisher							
40	5					rdam:P30405	broadcaster corporate body					6	1		1	dct:publisher							
40	5					rdam:P30434	broadcaster family					6	1		1	dct:publisher							
40	3			rdam:P30362	publisher person							2	1		1	dct:publisher							
40	4				rdam:P30347	broadcaster person						3	1		1	dct:publisher							
40	3			rdam:P30391	publisher collective agent							2	1		1	dct:publisher							
40	4				rdam:P30376	broadcaster collective agent						3	1		1	dct:publisher							
40	5					rdam:P30405	broadcaster corporate body					6	1		1	dct:publisher							
40	5					rdam:P30434	broadcaster family					6	1		1	dct:publisher							
40	4				rdam:P30420	publisher corporate body						3	1		1	dct:publisher							
40	5					rdam:P30405	broadcaster corporate body					6	1		1	dct:publisher							
40	4				rdam:P30449	publisher family						3	1		1	dct:publisher							
40	5					rdam:P30434	broadcaster family					6	1		1	dct:publisher							
40	2		rdam:P30363	creator person of manifestation								1	1		1	dct:publisher							
40	3			rdam:P30349	book designer person							2	1		1	dct:publisher							
40	3			rdam:P30352	printmaker person							2	1		1	dct:publisher							
40	4				rdam:P30350	engraver person						3	1		1	dct:publisher							
40	4				rdam:P30354	lithographer person						3	1		1	dct:publisher							
40	4				rdam:P30356	etcher person						3	1		1	dct:publisher							
40	3			rdam:P30353	caster person							2	1		1	dct:publisher							
40	3			rdam:P30355	platemaker person							2	1		1	dct:publisher							
40	4				rdam:P30357	collotyper person						3	1		1	dct:publisher							
40	3			rdam:P30360	producer person of unpublished manifestation							2	1		1	dct:publisher							
40	3			rdam:P30361	manufacturer person							2	1		1	dct:publisher							
40	4				rdam:P30351	braille embosser person						3	1		1	dct:publisher							
40	4				rdam:P30358	printer person						3	1		1	dct:publisher							
40	3			rdam:P30362	publisher person							2	1		1	dct:publisher							
40	4				rdam:P30347	broadcaster person						3	1		1	dct:publisher							
40	2		rdam:P30392	creator collective agent of manifestation								1	1		1	dct:publisher							
40	3			rdam:P30378	book designer collective agent							2	1		1	dct:publisher							
40	4				rdam:P30407	book designer corporate body						3	1		1	dct:publisher							
40	4				rdam:P30436	book designer family						3	1		1	dct:publisher							
40	3			rdam:P30381	printmaker collective agent							2	1		1	dct:publisher							
40	4				rdam:P30379	engraver collective agent						3	1		1	dct:publisher							
40	5					rdam:P30408	engraver corporate body					6	1		1	dct:publisher							
40	5					rdam:P30437	engraver family					6	1		1	dct:publisher							
40	4				rdam:P30383	lithographer collective agent						3	1		1	dct:publisher							
40	5					rdam:P30412	lithographer corporate body					6	1		1	dct:publisher							
40	5					rdam:P30441	lithographer family					6	1		1	dct:publisher							
40	4				rdam:P30385	etcher collective agent						3	1		1	dct:publisher							
40	5					rdam:P30414	etcher corporate body					6	1		1	dct:publisher							
40	5					rdam:P30443	etcher family					6	1		1	dct:publisher							
40	4				rdam:P30410	printmaker corporate body						3	1		1	dct:publisher							
40	5					rdam:P30408	engraver corporate body					6	1		1	dct:publisher							
